,No of Bedrooms,No of Bathrooms,Lot Area (in Sqft),No of Floors,No_of_Times_Visited,Condition_of_the_House,Overall Grade,Area of the House from Basement (in Sqft),Basement Area (in Sqft),Age of House (in Years),Renovated Year,Longitude,Living Area after Renovation (in Sqft),Lot Area after Renovation (in Sqft),no_of_years(house sold),house_is,Zipcode_table_Zipcode_2,Zipcode_table_Zipcode_3,Zipcode_table_Zipcode_4,Zipcode_table_Zipcode_5,Zipcode_table_Zipcode_6,Zipcode_table_Zipcode_7,Zipcode_table_Zipcode_8,Zipcode_table_Zipcode_9,Zipcode_table_Zipcode_10,sale_price
1279,3,2.5,4125.0,2.0,0,2,7,1700.0,0,14,0,-121.854,1970.0,4105,6,1,0,0,0,1,0,0,0,0,0,403000.0
1280,3,2.5,4565.0,2.0,0,2,7,2470.0,0,13,0,-122.189,2470.0,5064,5,1,0,0,1,0,0,0,0,0,0,445000.0
1281,3,1.0,17380.0,1.0,0,2,7,1250.0,0,48,0,-122.108,1410.0,18200,6,1,0,0,0,0,1,0,0,0,0,345000.0
1282,3,3.5,14872.0,1.0,0,2,10,3110.0,0,15,0,-122.209,3110.0,12433,6,1,0,0,0,0,0,0,0,0,1,806525.0
1283,3,2.0,8925.0,1.0,0,2,7,1530.0,0,41,0,-122.199,2040.0,8856,5,1,0,0,0,1,0,0,0,0,0,371025.0
1284,2,1.0,6250.0,1.0,0,2,6,960.0,0,102,0,-122.386,1350.0,6250,5,2,0,0,0,0,1,0,0,0,0,355000.0
1285,3,1.0,14110.0,1.0,0,2,7,1240.0,0,46,0,-122.09,2060.0,19350,5,1,0,1,0,0,0,0,0,0,0,270000.0
1286,4,2.75,15349.0,2.0,1,2,7,2440.0,0,61,0,-122.333,2280.0,9250,5,2,1,0,0,0,0,0,0,0,0,425000.0
1287,3,1.75,7875.0,1.0,0,2,8,1620.0,700,51,0,-122.146,1990.0,9720,6,2,0,1,0,0,0,0,0,0,0,364808.0
1288,3,2.25,6561.0,1.0,0,2,8,1200.0,380,37,0,-122.14,1710.0,7241,6,1,0,1,0,0,0,0,0,0,0,320000.0
1289,4,2.5,5797.0,2.0,0,2,9,2963.0,0,12,0,-122.185,2665.0,6119,5,1,1,0,0,0,0,0,0,0,0,325000.0
1290,3,2.25,10290.0,2.0,0,2,8,2230.0,240,34,0,-122.124,1970.0,10150,5,1,0,1,0,0,0,0,0,0,0,350000.0
1291,3,1.5,10176.0,1.0,0,2,6,1370.0,0,71,0,-122.263,1650.0,10176,6,2,0,0,0,0,0,0,0,0,0,170000.0
1292,2,1.0,28717.0,1.0,0,2,6,960.0,0,34,0,-122.502,1860.0,28717,5,1,0,0,0,1,0,0,0,0,0,255000.0
1293,3,1.0,7500.0,1.0,0,2,7,880.0,250,71,0,-122.389,2190.0,5250,5,2,0,0,0,0,1,0,0,0,0,550000.0
1294,4,4.25,25714.0,2.0,0,2,10,4930.0,0,13,0,-122.148,3620.0,23035,5,1,1,0,0,0,0,0,0,0,0,806525.0
1295,3,1.0,5120.0,1.0,0,2,6,800.0,350,72,0,-122.392,1220.0,5120,6,2,0,0,0,0,1,0,0,0,0,420000.0
1296,4,2.5,7350.0,2.5,0,3,8,2190.0,0,60,0,-122.236,1880.0,7350,5,2,0,0,0,0,0,0,0,0,1,806525.0
1297,2,1.5,4080.0,1.0,0,2,7,930.0,560,62,0,-122.381,1320.0,4080,5,2,0,0,1,0,0,0,0,0,0,389250.0
1298,3,2.5,10183.0,1.0,0,2,8,1300.0,1300,14,0,-122.201,1860.0,10401,6,1,0,0,0,0,0,0,1,0,0,748000.0
1299,3,1.75,9600.0,1.0,0,2,7,1200.0,330,30,0,-122.076,1680.0,9680,6,1,1,0,0,0,0,0,0,0,0,284000.0
1300,4,2.0,5000.0,1.0,0,2,7,980.0,700,68,0,-122.286,1680.0,6000,5,2,0,0,0,0,0,1,0,0,0,588000.0
1301,3,1.75,8648.0,1.0,0,2,7,1680.0,0,55,0,-122.332,1290.0,8147,6,2,0,1,0,0,0,0,0,0,0,372500.0
1302,4,3.0,7194.0,2.0,0,2,7,1900.0,0,30,0,-122.117,1690.0,7194,6,1,1,0,0,0,0,0,0,0,0,285000.0
1303,3,1.0,9467.0,1.0,0,2,7,1570.0,0,64,0,-122.359,1570.0,9100,5,2,0,0,0,0,1,0,0,0,0,360000.0
1304,3,1.0,17859.0,1.0,0,2,7,1150.0,220,88,0,-121.859,1460.0,47044,5,2,0,0,0,1,0,0,0,0,0,275000.0
1305,2,2.0,4225.0,1.0,0,2,8,1350.0,0,15,0,-122.03,1660.0,4225,5,1,0,0,0,0,0,1,0,0,0,428000.0
1306,6,2.5,17864.0,2.0,0,2,8,3010.0,0,49,0,-122.372,2560.0,11532,6,1,0,0,0,0,1,0,0,0,0,806525.0
1307,3,1.0,7838.0,1.0,0,2,6,1010.0,0,41,0,-121.981,1380.0,8128,5,1,0,0,1,0,0,0,0,0,0,316000.0
1308,3,2.5,7205.0,2.0,0,2,8,2050.0,0,18,0,-122.304,2050.0,7264,6,1,1,0,0,0,0,0,0,0,0,375000.0
1309,3,1.0,4080.0,1.0,0,2,7,1170.0,500,51,0,-122.321,1560.0,4080,5,2,0,0,0,0,0,1,0,0,0,533000.0
1310,5,2.5,16905.0,2.0,0,2,10,3840.0,0,27,0,-122.342,3270.0,12133,5,1,0,0,0,0,0,0,0,0,0,556000.0
1311,4,2.0,14120.0,1.0,0,2,7,1200.0,1020,52,0,-122.116,1300.0,9709,5,2,1,0,0,0,0,0,0,0,0,225000.0
1312,4,2.5,9530.0,1.0,0,2,8,1640.0,950,40,0,-122.285,2710.0,10970,5,1,0,1,0,0,0,0,0,0,0,537250.0
1313,3,1.0,13650.0,1.0,0,2,7,1180.0,0,51,0,-122.154,1460.0,11730,5,2,0,1,0,0,0,0,0,0,0,255000.0
1314,4,2.5,4836.0,2.0,0,2,7,2950.0,0,12,0,-122.129,2120.0,4750,6,1,0,0,0,1,0,0,0,0,0,530000.0
1315,6,6.0,24829.0,2.0,4,2,10,5000.0,2390,27,0,-122.21,4320.0,24619,6,1,0,0,0,0,0,0,0,0,1,806525.0
1316,3,2.75,31238.0,2.0,0,2,9,2150.0,0,22,0,-121.96,2650.0,38307,6,1,0,0,1,0,0,0,0,0,0,595000.0
1317,4,2.0,8880.0,1.0,0,2,7,2100.0,0,60,0,-122.124,1280.0,9102,5,2,0,0,0,0,1,0,0,0,0,548000.0
1318,3,1.75,8073.0,1.0,0,2,7,1100.0,550,38,0,-122.182,1280.0,8073,6,1,1,0,0,0,0,0,0,0,0,234975.0
1319,3,1.75,1325.0,2.5,0,2,9,1430.0,190,13,0,-122.321,1750.0,1572,5,1,0,0,0,0,0,0,1,0,0,600000.0
1320,4,1.0,12528.0,1.0,0,2,7,1750.0,0,51,0,-122.097,1550.0,14120,6,2,0,0,0,0,1,0,0,0,0,432000.0
1321,3,1.5,6657.0,2.0,0,2,7,1380.0,0,32,0,-122.217,1420.0,8187,6,1,0,0,0,1,0,0,0,0,0,455000.0
1322,3,1.75,11234.0,1.0,0,2,7,1210.0,300,53,0,-122.328,2080.0,9076,5,2,0,1,0,0,0,0,0,0,0,279950.0
1323,3,1.5,9072.0,1.0,0,2,7,1600.0,0,55,0,-122.216,1710.0,8000,5,2,1,0,0,0,0,0,0,0,0,267500.0
1324,4,2.5,220308.0,2.0,0,2,8,1840.0,0,18,0,-122.049,1890.0,65340,5,1,0,1,0,0,0,0,0,0,0,620000.0
1325,2,1.0,7590.0,1.0,0,1,6,830.0,0,75,0,-122.335,980.0,7590,6,2,0,0,1,0,0,0,0,0,0,110000.0
1326,3,3.5,1846.0,2.0,0,2,8,1440.0,370,9,0,-122.305,1480.0,3600,5,0,0,0,0,0,0,1,0,0,0,625000.0
1327,2,1.0,7000.0,1.0,0,2,7,910.0,0,66,0,-122.305,1260.0,7528,5,2,0,0,0,0,0,1,0,0,0,389000.0
1328,4,2.0,3360.0,2.0,0,2,9,2120.0,0,113,0,-122.31,2090.0,3600,5,2,0,0,0,0,0,0,0,1,0,806525.0
1329,4,2.25,133729.0,2.0,0,2,8,2510.0,0,41,0,-122.02,2510.0,69696,6,1,0,0,0,0,1,0,0,0,0,788500.0
1330,5,2.25,6936.0,1.0,0,2,8,1600.0,500,44,0,-122.169,2100.0,8661,5,1,0,0,0,0,0,0,1,0,0,567000.0
1331,2,2.25,15000.0,1.0,2,2,8,1870.0,820,31,0,-122.353,2690.0,15000,6,1,0,0,0,0,0,0,0,0,0,515000.0
1332,4,2.5,11870.0,1.0,0,3,8,1590.0,840,50,0,-122.285,2430.0,9600,5,1,0,1,0,0,0,0,0,0,0,605000.0
1333,4,3.75,4800.0,2.0,0,2,7,2452.0,0,82,1994,-122.213,1180.0,4800,5,2,1,0,0,0,0,0,0,0,0,430000.0
1334,2,1.75,6000.0,1.0,1,2,7,1550.0,0,98,0,-122.409,2360.0,6000,5,2,0,0,0,0,0,0,1,0,0,805000.0
1335,3,2.5,4556.0,2.0,0,2,8,2080.0,0,19,0,-122.014,1530.0,5606,6,1,0,0,0,0,0,0,1,0,0,567500.0
1336,3,1.75,3870.0,1.0,0,3,7,1290.0,0,102,0,-122.29,2020.0,5850,5,2,0,0,0,1,0,0,0,0,0,647500.0
1337,2,1.75,2530.0,2.5,0,2,7,1850.0,0,115,0,-122.31,1500.0,1795,5,2,0,0,0,0,0,1,0,0,0,495000.0
1338,4,2.5,5000.0,2.0,0,2,9,3370.0,0,12,0,-121.998,3370.0,5237,5,1,0,0,0,0,1,0,0,0,0,806525.0
1339,4,2.25,7506.0,2.0,0,2,8,2730.0,0,31,0,-122.152,2390.0,8015,6,1,0,1,0,0,0,0,0,0,0,435000.0
1340,3,1.75,7800.0,1.0,0,3,7,1300.0,0,50,0,-122.195,1520.0,7344,5,1,0,0,0,1,0,0,0,0,0,445950.0
1341,5,2.75,10257.0,2.0,0,2,10,3040.0,0,25,0,-122.119,2860.0,9327,5,1,0,0,0,0,0,0,1,0,0,806525.0
1342,4,3.0,3600.0,1.5,0,3,8,1480.0,960,89,0,-122.331,1770.0,4000,5,2,0,0,0,0,1,0,0,0,0,780000.0
1343,3,2.25,9000.0,1.0,0,2,8,1320.0,400,49,0,-122.383,1930.0,8000,5,1,0,0,0,0,0,0,0,0,0,274500.0
1344,5,3.0,5167.0,1.5,0,2,8,2000.0,1230,109,0,-122.34,1509.0,1626,6,2,0,1,0,0,0,0,0,0,0,729953.0
1345,3,1.5,890.0,2.0,0,2,8,1030.0,170,10,0,-122.342,1230.0,2120,5,0,0,0,0,0,0,0,0,1,0,464950.0
1346,4,1.75,18800.0,1.0,2,2,8,2350.0,0,59,0,-122.177,3050.0,14640,5,2,0,0,0,0,0,0,0,1,0,620000.0
1347,4,3.5,5600.0,2.0,0,2,9,3100.0,0,13,0,-121.978,3080.0,5600,6,1,0,0,0,0,0,0,0,1,0,735000.0
1348,4,2.25,9565.0,1.0,0,2,8,1400.0,640,59,0,-122.335,1890.0,8580,6,2,0,1,0,0,0,0,0,0,0,450000.0
1349,4,1.0,4676.0,1.5,0,2,7,1250.0,750,102,1986,-122.268,1140.0,4676,5,2,0,1,0,0,0,0,0,0,0,450000.0
1350,4,2.5,5298.0,2.5,0,2,9,2160.0,0,116,0,-122.31,1720.0,2283,5,2,0,0,0,0,0,1,0,0,0,806525.0
1351,3,2.0,79714.0,1.0,0,2,7,1070.0,900,39,0,-122.107,1890.0,36626,5,1,0,1,0,0,0,0,0,0,0,360000.0
1352,3,2.5,100545.0,2.0,0,2,8,2270.0,0,20,0,-122.47,1277.0,100545,5,1,0,0,0,1,0,0,0,0,0,585000.0
1353,3,2.25,7923.0,1.0,0,2,7,1150.0,700,41,0,-122.171,1780.0,7420,5,1,0,0,0,0,0,0,1,0,0,461000.0
1354,2,1.0,4494.0,1.0,0,2,7,920.0,430,69,0,-122.38,1470.0,5225,5,2,0,0,1,0,0,0,0,0,0,345000.0
1355,3,2.5,10302.0,1.0,0,2,10,1680.0,1600,48,0,-122.286,1550.0,6300,5,1,0,0,0,0,0,1,0,0,0,806525.0
1356,4,2.5,8391.0,2.0,0,2,8,2270.0,0,30,0,-122.013,2420.0,8391,6,1,0,0,0,0,0,1,0,0,0,643000.0
1357,4,2.5,8307.0,2.0,0,2,9,2820.0,0,28,0,-122.027,2820.0,8307,5,1,0,0,0,0,0,0,1,0,0,690000.0
1358,4,1.0,11111.0,1.5,0,2,7,1200.0,0,69,0,-122.306,1350.0,9113,6,2,0,1,0,0,0,0,0,0,0,282000.0
1359,3,1.75,6130.0,1.0,0,2,8,1120.0,880,67,0,-122.388,2140.0,7150,5,2,0,0,0,0,1,0,0,0,0,549000.0
1360,3,2.0,6000.0,2.0,1,2,9,1560.0,750,92,0,-122.395,2000.0,6000,6,2,0,0,0,0,0,0,1,0,0,806525.0
1361,5,4.25,22703.0,2.0,4,3,8,2860.0,1780,66,0,-122.097,3140.0,14200,6,2,0,0,0,0,0,1,0,0,0,806525.0
1362,3,2.25,11424.0,2.0,0,2,8,2330.0,0,34,0,-122.11,2050.0,11448,6,1,0,0,0,0,0,1,0,0,0,700000.0
1363,3,2.5,10360.0,2.0,0,2,9,3110.0,830,26,0,-122.116,2720.0,11941,5,1,0,0,0,0,0,1,0,0,0,806525.0
1364,3,1.0,11250.0,1.0,0,2,7,1440.0,0,51,0,-122.213,2200.0,11250,5,2,1,0,0,0,0,0,0,0,0,290000.0
1365,4,1.75,9300.0,1.0,0,3,7,1340.0,620,39,0,-121.772,1500.0,9752,5,1,0,0,1,0,0,0,0,0,0,372000.0
1366,2,1.75,2890.0,1.0,0,2,7,790.0,460,98,0,-122.353,1500.0,3225,5,2,0,0,0,0,1,0,0,0,0,450000.0
1367,3,2.5,5700.0,2.0,0,2,8,1981.0,0,8,0,-122.178,1981.0,5894,5,0,1,0,0,0,0,0,0,0,0,303700.0
1368,4,2.5,10049.0,2.0,0,2,9,2440.0,0,29,0,-121.993,2820.0,8484,5,1,0,0,0,0,0,1,0,0,0,672000.0
1369,4,1.5,9360.0,1.5,0,2,6,1150.0,0,48,0,-122.173,1480.0,8155,5,1,0,0,0,1,0,0,0,0,0,334000.0
1370,2,1.0,5650.0,1.0,0,2,6,1120.0,0,74,0,-122.241,1270.0,6875,5,2,1,0,0,0,0,0,0,0,0,260000.0
1371,3,1.75,5700.0,1.0,0,2,8,1000.0,800,77,0,-122.367,1680.0,5350,5,2,0,0,0,0,0,0,1,0,0,749950.0
1372,4,2.25,122038.0,2.0,0,2,8,2380.0,0,34,0,-122.015,2030.0,48000,5,1,1,0,0,0,0,0,0,0,0,330000.0
1373,5,3.0,2808.0,2.0,0,2,8,2140.0,780,58,1992,-122.342,1620.0,1544,5,2,0,0,0,0,1,0,0,0,0,806525.0
1374,3,2.25,13791.0,1.0,3,2,8,2790.0,0,12,0,-122.351,2720.0,12600,5,1,0,0,1,0,0,0,0,0,0,806525.0
1375,3,1.0,7552.0,1.0,0,2,6,910.0,650,70,0,-122.327,1200.0,8152,5,2,0,1,0,0,0,0,0,0,0,320000.0
1376,2,1.0,15250.0,1.5,0,3,7,1550.0,0,98,0,-122.045,1520.0,34929,6,2,0,1,0,0,0,0,0,0,0,260000.0
1377,3,2.0,11475.0,1.0,0,3,6,970.0,730,73,0,-122.338,1560.0,11475,5,2,1,0,0,0,0,0,0,0,0,225000.0
1378,1,1.0,6350.0,1.0,0,2,5,640.0,0,79,0,-122.359,1270.0,6350,5,2,0,0,0,0,1,0,0,0,0,279200.0
1379,4,3.5,10000.0,2.0,0,2,8,2040.0,640,76,2014,-122.296,1530.0,8000,5,2,0,0,1,0,0,0,0,0,0,520000.0
1380,3,2.5,8060.0,2.0,0,2,8,1860.0,0,31,0,-122.017,1850.0,4661,5,1,0,0,0,0,0,1,0,0,0,505000.0
1381,3,1.75,8366.0,1.0,0,2,7,1010.0,480,43,0,-122.14,1490.0,7469,5,1,1,0,0,0,0,0,0,0,0,234000.0
1382,4,2.5,5044.0,2.0,0,2,9,2470.0,0,13,0,-122.271,2790.0,5583,5,1,0,1,0,0,0,0,0,0,0,503000.0
1383,4,2.25,8858.0,1.0,0,2,8,1740.0,650,39,0,-122.184,2240.0,8858,5,1,0,0,0,0,0,0,1,0,0,606000.0
1384,3,1.0,6000.0,1.0,0,2,7,780.0,450,81,0,-122.281,1570.0,5000,5,2,0,0,0,0,0,1,0,0,0,433500.0
1385,3,1.5,10182.0,1.0,0,2,8,1510.0,1330,67,0,-122.2,2210.0,9669,6,2,0,0,1,0,0,0,0,0,0,250000.0
1386,3,2.5,9307.0,2.0,0,2,9,2120.0,0,34,0,-122.141,2290.0,11524,5,1,0,0,0,0,0,0,1,0,0,719000.0
1387,3,2.0,14400.0,1.0,0,2,8,1770.0,0,59,0,-122.337,1900.0,14400,5,2,0,0,1,0,0,0,0,0,0,381000.0
1388,3,2.5,4400.0,2.0,0,2,8,2495.0,0,11,0,-122.283,2434.0,4400,5,1,0,0,0,0,0,0,0,0,0,267000.0
1389,1,0.75,14149.0,1.0,0,3,7,880.0,290,56,0,-121.91,1130.0,24513,5,2,1,0,0,0,0,0,0,0,0,275000.0
1390,4,2.5,7140.0,2.0,0,2,8,2740.0,0,25,0,-122.021,2260.0,7035,5,1,0,0,0,0,0,0,1,0,0,651000.0
1391,2,1.0,5671.0,1.0,0,2,7,850.0,200,69,0,-122.286,1850.0,5243,6,2,0,0,0,0,0,1,0,0,0,439000.0
1392,2,1.0,5070.0,1.0,0,2,7,1130.0,0,63,0,-122.377,860.0,6300,6,2,1,0,0,0,0,0,0,0,0,325000.0
1393,2,1.0,6380.0,1.0,0,2,7,880.0,0,80,1994,-122.322,1340.0,6380,5,2,0,0,0,0,0,1,0,0,0,490000.0
1394,4,2.5,6172.0,2.0,0,2,9,2403.0,0,19,0,-122.234,2380.0,6075,5,1,0,0,1,0,0,0,0,0,0,519900.0
1395,4,2.75,35040.0,2.0,0,2,9,3410.0,0,34,0,-122.03,2580.0,37263,5,1,0,1,0,0,0,0,0,0,0,545000.0
1396,4,4.0,20041.0,2.0,0,2,10,5320.0,0,15,0,-121.966,4640.0,17268,5,1,0,0,0,0,0,0,0,1,0,806525.0
1397,4,1.75,8250.0,1.0,0,2,7,950.0,950,63,0,-122.147,1480.0,8360,5,2,0,0,0,0,0,0,1,0,0,542000.0
1398,4,1.75,21650.0,2.0,0,2,7,1810.0,0,57,0,-122.076,2700.0,29680,5,2,0,0,0,0,0,1,0,0,0,465000.0
1399,2,2.0,3900.0,1.0,0,2,8,1200.0,0,12,0,-122.024,1440.0,5580,6,1,0,0,0,0,0,1,0,0,0,408000.0
1400,4,2.5,5950.0,2.0,0,2,8,2060.0,0,18,0,-122.192,2242.0,6406,5,1,1,0,0,0,0,0,0,0,0,292000.0
1401,3,1.75,10122.0,1.0,0,2,7,1250.0,0,24,0,-122.001,1980.0,10175,5,1,0,0,1,0,0,0,0,0,0,253000.0
1402,2,1.0,4662.0,1.0,0,3,6,910.0,0,76,0,-122.354,890.0,6050,5,2,1,0,0,0,0,0,0,0,0,280000.0
1403,3,2.25,41346.0,2.0,0,2,10,2560.0,0,32,0,-122.065,3040.0,35395,5,1,0,0,0,0,1,0,0,0,0,658588.0
1404,4,2.25,8910.0,1.0,0,2,8,1200.0,720,49,0,-122.156,2250.0,8800,5,1,0,0,0,0,0,0,0,1,0,635000.0
1405,4,2.25,8300.0,2.0,0,2,8,2240.0,0,40,0,-122.197,2340.0,8500,5,1,0,0,0,1,0,0,0,0,0,439000.0
1406,3,2.5,3855.0,2.0,0,2,8,1260.0,0,19,0,-122.154,1310.0,3344,5,1,0,0,0,1,0,0,0,0,0,300000.0
1407,3,1.5,13496.0,1.0,0,2,8,1360.0,0,58,0,-122.314,1900.0,10538,6,2,1,0,0,0,0,0,0,0,0,345000.0
1408,4,2.25,8050.0,2.0,0,2,8,2100.0,0,40,0,-122.193,2190.0,7700,5,1,1,0,0,0,0,0,0,0,0,283500.0
1409,2,1.0,4920.0,1.5,0,2,7,1460.0,650,107,0,-122.339,1390.0,4732,5,2,0,0,0,0,1,0,0,0,0,425000.0
1410,3,1.75,8955.0,1.0,1,2,8,1560.0,650,44,0,-122.189,2210.0,8976,6,1,0,0,0,0,0,0,1,0,0,685000.0
1411,3,2.5,12987.0,2.0,0,2,8,2360.0,0,35,0,-122.149,2480.0,11665,6,1,0,0,0,0,0,0,1,0,0,750000.0
1412,4,1.5,8000.0,1.0,0,2,6,1280.0,0,58,0,-122.255,1420.0,8211,6,2,1,0,0,0,0,0,0,0,0,245000.0
1413,6,3.75,6924.0,1.0,2,2,7,1640.0,1100,56,0,-122.296,1940.0,6000,6,2,0,0,0,1,0,0,0,0,0,585444.0
1414,4,2.5,7571.0,2.0,0,2,9,2740.0,0,9,0,-122.179,2880.0,7203,5,0,0,0,0,0,0,0,1,0,0,706000.0
1415,4,2.0,9099.0,1.5,0,2,7,1830.0,800,74,2009,-122.361,1430.0,6825,5,2,1,0,0,0,0,0,0,0,0,445000.0
1416,3,2.0,6000.0,1.0,0,2,7,1650.0,0,28,0,-122.353,1870.0,6000,6,1,0,0,0,0,0,0,0,0,0,241000.0
1417,2,2.5,7155.0,2.0,4,2,8,1770.0,0,61,2004,-122.285,2410.0,10476,6,2,0,1,0,0,0,0,0,0,0,806525.0
1418,3,1.0,5750.0,1.5,0,2,7,1050.0,450,91,0,-122.376,1500.0,5060,6,2,0,0,1,0,0,0,0,0,0,530000.0
1419,3,1.5,12199.0,1.0,0,2,7,1130.0,300,70,0,-122.33,1490.0,8196,6,2,0,1,0,0,0,0,0,0,0,350000.0
1420,4,3.75,17186.0,2.0,4,2,10,3190.0,0,19,0,-122.246,2290.0,13496,6,1,1,0,0,0,0,0,0,0,0,806525.0
1421,3,1.0,9630.0,1.0,0,2,7,1280.0,0,50,0,-122.163,1300.0,9453,6,1,0,0,0,0,1,0,0,0,0,389000.0
1422,4,2.75,6820.0,2.0,0,2,7,2140.0,250,73,0,-122.27,1980.0,6820,5,2,0,0,0,0,0,1,0,0,0,799000.0
1423,4,2.5,9630.0,1.0,3,2,9,2020.0,2020,67,0,-122.41,3160.0,8025,5,2,0,0,0,0,0,0,1,0,0,806525.0
1424,2,1.0,8612.0,1.0,0,3,7,920.0,0,71,0,-122.301,1500.0,7956,5,2,0,1,0,0,0,0,0,0,0,340895.0
1425,4,2.5,10281.0,2.0,2,2,9,2730.0,0,22,0,-122.029,2750.0,7220,5,1,0,0,0,0,0,0,1,0,0,780000.0
1426,2,1.5,73600.0,1.0,0,2,7,1320.0,0,25,0,-122.271,1320.0,33600,5,1,0,0,0,0,0,0,0,0,0,350000.0
1427,3,2.5,4874.0,2.0,0,2,7,2620.0,0,19,0,-121.879,2360.0,4231,6,1,0,0,0,1,0,0,0,0,0,470000.0
1428,4,3.0,80837.0,2.0,0,2,10,3180.0,0,33,0,-122.134,3180.0,38715,6,1,0,0,0,0,1,0,0,0,0,806525.0
1429,4,2.5,4762.0,2.0,0,2,8,2900.0,0,13,0,-122.129,2900.0,5173,5,1,1,0,0,0,0,0,0,0,0,354000.0
1430,5,2.0,6000.0,1.5,0,2,6,1900.0,0,98,0,-122.186,2110.0,8400,6,2,0,0,0,0,0,0,1,0,0,470000.0
1431,3,2.0,5400.0,1.0,0,3,7,1160.0,600,91,0,-122.331,1640.0,5400,5,2,0,0,0,0,1,0,0,0,0,715000.0
1432,2,1.0,4000.0,1.0,0,2,6,760.0,0,68,0,-122.304,1640.0,4500,5,2,0,1,0,0,0,0,0,0,0,265000.0
1433,4,3.0,20000.0,2.0,2,3,10,2760.0,950,82,0,-122.261,3970.0,20000,6,2,0,0,0,0,0,0,1,0,0,806525.0
1434,3,1.0,4944.0,1.0,0,2,7,1530.0,0,68,0,-122.341,1500.0,4944,5,2,0,0,0,0,1,0,0,0,0,640000.0
1435,4,1.75,18900.0,2.0,0,2,7,1870.0,120,89,0,-122.313,1710.0,12400,5,2,0,0,0,0,0,0,0,0,0,290000.0
1436,5,4.75,35000.0,1.0,0,2,8,2130.0,1700,42,0,-122.079,2750.0,36150,5,1,0,0,0,0,0,1,0,0,0,480000.0
1437,3,2.0,5600.0,1.0,1,3,7,1120.0,920,64,0,-122.293,2120.0,4958,5,2,0,0,0,1,0,0,0,0,0,535000.0
1438,3,1.75,12220.0,1.0,0,3,8,2170.0,0,53,0,-122.195,1980.0,9000,5,2,0,0,0,0,0,0,1,0,0,806525.0
1439,3,1.75,7330.0,1.0,0,2,7,1090.0,530,44,0,-122.213,1380.0,7191,5,1,0,0,0,1,0,0,0,0,0,459000.0
1440,3,2.5,21399.0,1.0,3,2,9,2310.0,1290,68,2007,-122.099,2830.0,17559,6,2,0,0,0,0,1,0,0,0,0,806525.0
1441,3,1.5,11599.0,1.0,0,2,7,1070.0,400,51,0,-122.188,1580.0,9760,6,2,1,0,0,0,0,0,0,0,0,264950.0
1442,3,1.0,3000.0,1.5,0,1,6,1760.0,0,118,0,-122.348,1320.0,1266,5,2,0,0,0,0,1,0,0,0,0,352950.0
1443,3,2.25,13100.0,1.0,0,2,8,1510.0,720,44,0,-122.174,2010.0,10650,5,1,0,0,0,0,0,0,1,0,0,491500.0
1444,4,3.5,37034.0,2.0,0,2,10,2830.0,940,29,0,-122.151,3200.0,36342,5,1,0,0,0,0,0,1,0,0,0,806525.0
1445,3,1.0,9194.0,1.0,0,2,7,1200.0,0,66,0,-122.319,1330.0,8650,6,2,0,1,0,0,0,0,0,0,0,369500.0
1446,3,2.5,6294.0,2.0,0,2,9,2090.0,0,14,0,-122.095,2520.0,5735,6,1,0,0,0,0,0,1,0,0,0,566000.0
1447,3,2.25,7308.0,1.0,0,2,7,1210.0,290,50,0,-122.187,1480.0,7400,5,1,1,0,0,0,0,0,0,0,0,290000.0
1448,5,5.0,23985.0,2.0,4,2,10,6720.0,1280,9,0,-122.22,4600.0,21750,6,0,0,0,0,0,0,0,0,0,1,806525.0
1449,3,1.0,5330.0,1.0,0,2,6,870.0,0,49,2014,-122.077,840.0,5200,5,1,1,0,0,0,0,0,0,0,0,180000.0
1450,2,1.0,6000.0,1.0,0,2,6,1010.0,0,74,0,-122.353,1610.0,7313,5,2,0,1,0,0,0,0,0,0,0,215000.0
1451,2,1.0,6000.0,1.0,0,2,6,1010.0,0,74,0,-122.353,1610.0,7313,6,2,0,1,0,0,0,0,0,0,0,302000.0
1452,3,1.75,7881.0,1.0,0,2,7,1160.0,700,32,0,-122.322,1490.0,7527,6,1,1,0,0,0,0,0,0,0,0,352500.0
1453,4,2.0,5926.0,1.0,0,2,5,1330.0,0,76,0,-122.19,1150.0,5485,5,2,0,0,1,0,0,0,0,0,0,235867.0
1454,3,2.25,11946.0,2.0,0,2,8,1760.0,0,40,0,-122.05,2080.0,12068,5,1,0,0,0,0,0,0,1,0,0,500000.0
1455,3,2.25,4500.0,2.0,0,2,7,1800.0,0,23,0,-121.98,1760.0,6589,6,1,0,0,1,0,0,0,0,0,0,382000.0
1456,5,2.5,2402.0,1.5,0,2,7,990.0,700,88,0,-122.38,1200.0,4005,6,2,0,0,0,0,1,0,0,0,0,515000.0
1457,1,1.0,2600.0,1.0,0,2,6,660.0,0,99,0,-122.304,1560.0,5445,6,2,0,0,0,1,0,0,0,0,0,250000.0
1458,3,2.25,5300.0,1.5,0,2,7,1250.0,1150,79,0,-122.384,1540.0,4800,5,2,0,0,0,0,1,0,0,0,0,672500.0
1459,3,2.25,13031.0,2.0,0,2,9,3020.0,0,29,0,-122.098,2480.0,10204,5,1,0,0,0,0,0,1,0,0,0,755000.0
1460,3,1.0,2555.0,2.0,2,2,7,1500.0,0,108,0,-122.353,1820.0,2555,6,2,0,0,0,0,0,0,0,1,0,707500.0
